PRODUCT_STYLE_NO,COLOR_MASTER,SIZE,PRICE,OFFER_PRICE,STOCK,SKU_CODE,"STATUS (1: active, 0: inactive)"
Cozi_2121,Black,S,380,380,10,COZI_2121_BLK_S_1PC,1
Cozi_2121,Black,M,380,380,10,COZI_2121_BLK_M_1PC,1
Cozi_2121,Black,L,380,380,10,COZI_2121_BLK_L_1PC,1
Cozi_2121,Black,XL,380,380,10,COZI_2121_BLK_XL_1PC,1
Cozi_2121,Black,2XL,395,395,10,COZI_2121_BLK_2XL_1PC,1
Cozi_2121,Coffee,S,380,380,10,COZI_2121_COF_S_1PC,1
Cozi_2121,Coffee,M,380,380,10,COZI_2121_COF_M_1PC,1
Cozi_2121,Coffee,L,380,380,10,COZI_2121_COF_L_1PC,1
Cozi_2121,Coffee,XL,380,380,10,COZI_2121_COF_XL_1PC,1
Cozi_2121,Coffee,2XL,395,395,10,COZI_2121_COF_2XL_1PC,1
Cozi_2121,Emerald,S,380,380,10,COZI_2121_EMRAD_S_1PC,1
Cozi_2121,Emerald,M,380,380,10,COZI_2121_EMRAD_M_1PC,1
Cozi_2121,Emerald,L,380,380,10,COZI_2121_EMRAD_L_1PC,1
Cozi_2121,Emerald,XL,380,380,10,COZI_2121_EMRAD_XL_1PC,1
Cozi_2121,Emerald,2XL,395,395,10,COZI_2121_EMRAD_2XL_1PC,1
Cozi_2121,Maroon,S,380,380,10,COZI_2121_MRN_S_1PC,1
Cozi_2121,Maroon,M,380,380,10,COZI_2121_MRN_M_1PC,1
Cozi_2121,Maroon,L,380,380,10,COZI_2121_MRN_L_1PC,1
Cozi_2121,Maroon,XL,380,380,10,COZI_2121_MRN_XL_1PC,1
Cozi_2121,Maroon,XXL,395,395,10,COZI_2121_MRN_2XL_1PC,1
Cozi_2121,Mint Green,S,380,380,10,COZI_2121_MTGRN_S_1PC,1
Cozi_2121,Mint Green,M,380,380,10,COZI_2121_MTGRN_M_1PC,1
Cozi_2121,Mint Green,L,380,380,10,COZI_2121_MTGRN_L_1PC,1
Cozi_2121,Mint Green,XL,380,380,10,COZI_2121_MTGRN_XL_1PC,1
Cozi_2121,Mint Green,2XL,395,395,10,COZI_2121_MTGRN_2XL_1PC,1
Cozi_2121,Mustard,S,380,380,10,COZI_2121_MST_S_1PC,1
Cozi_2121,Mustard,M,380,380,10,COZI_2121_MST_M_1PC,1
Cozi_2121,Mustard,L,380,380,10,COZI_2121_MST_L_1PC,1
Cozi_2121,Mustard,XL,380,380,10,COZI_2121_MST_XL_1PC,1
Cozi_2121,Mustard,XXL,395,395,10,COZI_2121_MST_2XL_1PC,1
Cozi_2121,Navy Blue,S,380,380,10,COZI_2121_NB_S_1PC,1
Cozi_2121,Navy Blue,M,380,380,10,COZI_2121_NB_M_1PC,1
Cozi_2121,Navy Blue,L,380,380,10,COZI_2121_NB_L_1PC,1
Cozi_2121,Navy Blue,XL,380,380,10,COZI_2121_NB_XL_1PC,1
Cozi_2121,Navy Blue,2XL,395,395,10,COZI_2121_NB_2XL_1PC,1
Cozi_2121,Oxford Blue,S,380,380,10,COZI_2121_OXBLU_S_1PC,1
